WGS84 UTM 49S
686751 9190570
-8.1996457713 16.1186313853 6553.1
22.4728802788 16.0032117572 6553.1
-8.1996457713 16.1186313853 6553.2
-8.1996457713 16.1186313853 6553.2
-8.31523987872 -14.6022060048 6553.1
-8.1996457713 16.1186313853 6553.2
-8.31523987872 -14.6022060048 6553.2
-8.31523987872 -14.6022060048 6553.2
-8.31523987872 -14.6022060048 6553.2
22.4728802788 16.0032117572 6553.2
-8.1996457713 16.1186313853 6553.2
22.4728802788 16.0032117572 6553.1
22.4728802788 16.0032117572 6553.2
-8.31523987872 -14.6022060048 6553.2
-8.31523987872 -14.6022060048 6553.2
-8.31523987872 -14.6022060048 6553.2
-8.31523987872 -14.6022060048 6553.2
-8.1996457713 16.1186313853 6553.2
-8.31523987872 -14.6022060048 6553.2
-8.1996457713 16.1186313853 6553.2
-8.31523987872 -14.6022060048 6553.2
-8.1996457713 16.1186313853 6553.2
-8.31523987872 -14.6022060048 6553.1
22.4728802788 16.0032117572 6553.2
22.4728802788 16.0032117572 6553.2
22.357267163 -14.7176299188 6553.2
22.4728802788 16.0032117572 6553.2
-8.1996457713 16.1186313853 6553.2
22.4728802788 16.0032117572 6553.2
-8.31523987872 -14.6022060048 6553.2
-8.1996457713 16.1186313853 6553.2
22.4728802788 16.0032117572 6553.2
-8.31523987872 -14.6022060048 6553.2
-8.31523987872 -14.6022060048 6553.2
22.357267163 -14.7176299188 6553.1
-8.31523987872 -14.6022060048 6553.2
-8.31523987872 -14.6022060048 6553.2
-8.1996457713 16.1186313853 6553.2
-8.31523987872 -14.6022060048 6553.2
-8.1996457713 16.1186313853 6553.2
22.357267163 -14.7176299188 6553.3
22.4728802788 16.0032117572 6553.2
22.4728802788 16.0032117572 6553.2
-8.1996457713 16.1186313853 6553.2
-8.31523987872 -14.6022060048 6553.3
-8.1996457713 16.1186313853 6553.2
-8.31523987872 -14.6022060048 6553.2
-8.31523987872 -14.6022060048 6553.2
-8.31523987872 -14.6022060048 6553.2
-8.1996457713 16.1186313853 6553.3
-8.31523987872 -14.6022060048 6553.2
-8.31523987872 -14.6022060048 6553.1
-8.1996457713 16.1186313853 6553.2
22.357267163 -14.7176299188 6553.2
-8.1996457713 16.1186313853 6553.2
-8.31523987872 -14.6022060048 6553.2
-8.1996457713 16.1186313853 6553.2
-8.31523987872 -14.6022060048 6553.3
22.357267163 -14.7176299188 6553.2
-8.31523987872 -14.6022060048 6553.2
-8.1996457713 16.1186313853 6553.2
22.4728802788 16.0032117572 6553.2
-8.1996457713 16.1186313853 6553.2
22.4728802788 16.0032117572 6553.2
22.4728802788 16.0032117572 6553.2
22.357267163 -14.7176299188 6553.2
-8.1996457713 16.1186313853 6553.2
22.357267163 -14.7176299188 6553.2
-8.1996457713 16.1186313853 6553.2
-8.1996457713 16.1186313853 6553.2
-8.1996457713 16.1186313853 6553.2
22.357267163 -14.7176299188 6553.2
-8.1996457713 16.1186313853 6553.2
-8.31523987872 -14.6022060048 6553.2
-8.1996457713 16.1186313853 6553.2
-8.31523987872 -14.6022060048 6553.2
22.4728802788 16.0032117572 6553.2
-8.31523987872 -14.6022060048 6553.2
22.357267163 -14.7176299188 6553.2
22.4728802788 16.0032117572 6553.2
-8.31523987872 -14.6022060048 6553.2
-8.31523987872 -14.6022060048 6553.2
-8.31523987872 -14.6022060048 6553.2
-8.31523987872 -14.6022060048 6553.2
-8.31523987872 -14.6022060048 6553.2
-8.31523987872 -14.6022060048 6553.1
22.4728802788 16.0032117572 6553.3
-8.31523987872 -14.6022060048 6553.2
22.4728802788 16.0032117572 6553.1
-8.1996457713 16.1186313853 6553.2
22.4728802788 16.0032117572 6553.2
-8.31523987872 -14.6022060048 6553.2
-8.31523987872 -14.6022060048 6553.2
-8.31523987872 -14.6022060048 6553.2
-8.31523987872 -14.6022060048 6553.2
-8.1996457713 16.1186313853 6553.1
22.4728802788 16.0032117572 6553.4
-8.31523987872 -14.6022060048 6553.2
-8.31523987872 -14.6022060048 6553.2
22.4728802788 16.0032117572 6553.2
22.357267163 -14.7176299188 6553.3
-8.31523987872 -14.6022060048 6553.2
-8.31523987872 -14.6022060048 6553.1
-8.31523987872 -14.6022060048 6553.2
-8.1996457713 16.1186313853 6553.2
-8.1996457713 16.1186313853 6553.2
-8.31523987872 -14.6022060048 6553.2
-8.1996457713 16.1186313853 6553.2
22.357267163 -14.7176299188 6553.3
-8.1996457713 16.1186313853 6553.2
-8.1996457713 16.1186313853 6553.2
-8.31523987872 -14.6022060048 6553.2
